word,level,variant
foot,base,
football,base,
for,base,
force,base,
forecast,elective,
forehead,elective,
foreign,base,
forest,base,
forever,base,
forget,base,
forgive,elective,
fork,base,
form,base,
formal,required,
format,elective,
former,required,
fortunately,required,
fortune,required,
forward,base,
found,base,
foundation,elective,
fountain,elective,
fox,base,
frame,elective,
frank,required,
free,base,
freedom,elective,
freeze,base,
frequency,elective,
frequently,required,
fresh,base,
friction,elective,
fridge,base,
(=refrigerator),base,
friend,base,
friendly,base,
friendship,base,
frightened,required,
frog,elective,
from,base,
front,base,
frontier,elective,
frost,elective,
fruit,base,
fry,elective,
fuel,elective,
fulfil,elective,
full,base,
fun,base,
function,required,
fund,required,
fundamental,elective,
funny,base,
furniture,elective,
further,required,
furthermore,required,
future,base,
gain,elective,
gallery,elective,
game,base,
gap,required,
garbage,elective,
garden,base,
garlic,elective,
gas,base,
gate,base,
gather,required,
gender,elective,
gene,elective,
general,base,
generate,elective,
generation,required,
generous,required,
genius,elective,
gentle,elective,
gentleman,base,
genuine,elective,
geography,base,
geometry,elective,
gesture,required,
get,base,
giant,required,
gift,base,
gifted,elective,
giraffe,base,
girl,base,
give,base,
glad,base,
glance,elective,
glass,base,
global,required,
globe,elective,
glove,base,
glue,base,
go,base,
goal,base,
goat,elective,
god,base,
gold,base,
golf,elective,
good,base,
goodbye,base,
(bye),base,
goods,required,
government,base,
grab,elective,
graceful,elective,
grade,base,
gradually,elective,
graduate,base,
grain,elective,
grammar,base,
gramme,base,
(gram),elective,
grand,elective,
granddaughter,required,
grandfather,base,
(grandpa),base,
grandmother,base,
(grandma),base,
grandparent,required,
grandson,required,
grape,base,
grasp,elective,
grass,base,
grateful,elective,
gratitude,elective,
gravity,elective,
great,base,
greedy,elective,
green,base,
greenhouse,required,
greet,base,
grey,base,
(gray),base,
grocery,elective,
ground,base,
group,base,
grow,base,
guarantee,elective,
guard,base,
guess,base,
guest,base,
guidance,elective,
guide,base,
guideline,required,
guilty,elective,
guitar,base,
gun,base,
guy,required,
gym,base,
(=gymnasium),base,
gymnastics,required,
habit,base,
habitat,elective,
hair,base,
half,base,
hall,base,
ham,elective,
hamburger,base,
hand,base,
handbag,required,
handkerchief,elective,
handle,elective,
handsome,base,
handwriting,elective,
hang,base,
happen,base,
happy,base,
hard,base,
hardly,base,
harm,base,
harmful,required,
harmonious,elective,
harmony,elective,
harvest,elective,
hat,base,
hatch,elective,
hate,base,
have,base,
(has),base,
he,base,
head,base,
headache,required,
headline,required,
health,base,
healthy,base,
hear,base,
heart,base,
heat,base,
heavy,base,
height,base,
helicopter,required,
hello,base,
help,base,
helpful,base,
hen,base,
hence,elective,
her,base,
herb,elective,
here,base,
heritage,required,
hero,base,
hers,base,
herself,base,
hesitate,required,
hi,base,
hide,base,
high,base,
highlight,elective,
highway,required,
hike,base,
hill,base,
him,base,
himself,base,
hire,elective,
his,base,
historic,elective,
history,base,
hit,base,
hobby,base,
hold,base,
hole,base,
holiday,base,
home,base,
hometown,base,
homework,base,
honest,base,
honey,base,
honour,base,
(honor),base,
hope,base,
horrible,required,
horror,required,
horse,base,
hospital,base,
host,base,
hostess,base,
hot,base,
hotel,base,
hour,base,
house,base,
household,elective,
housework,base,
housing,elective,
how,base,
however,base,
hug,base,
huge,base,
human,base,
humanity,elective,
humble,elective,
humour,base,
(humor),base,
humourous,required,
hungry,base,
hunt,base,
hurricane,required,
hurry,base,
hurt,base,
husband,base,
hybrid,elective,
hydrogen,elective,
ice,base,
idea,base,
ideal,elective,
identical,elective,
identify,elective,
identity,required,
idiom,elective,
if,base,
ignore,required,
ill,base,
illegal,elective,
illness,base,
illustrate,required,
image,required,
imagine,base,
immediately,required,
impact,required,
imply,elective,
import,required,
important,base,
impossible,base,
impress,elective,
impression,required,
improve,base,
in,base,
inch,elective,
incident,elective,
include,base,
income,required,
increase,base,
incredible,elective,
indeed,required,
independent,required,
indicate,required,
individual,required,
industry,base,
infection,elective,
infer,elective,
influence,base,
influential,elective,
information,base,
ingredient,required,
initial,elective,
initiative,elective,
injury,elective,
ink,required,
inner,elective,
innocent,elective,
innovation,elective,
input,elective,
inquire,elective,
insect,base,
inside,base,
insight,elective,
insist,elective,
inspection,elective,
inspire,required,
instance,elective,
instant,elective,
instead,base,
institute,elective,
institution,elective,
instruction,base,
instrument,base,
insurance,elective,
integrate,elective,
integrity,elective,
intellectual,elective,
intelligent,required,
intend,required,
intense,elective,
intention,elective,
interaction,elective,
interest,base,
interesting,base,
internal,elective,
international,base,
internet,base,
interpret,elective,
interrupt,elective,
intervention,elective,
interview,base,
into,base,
introduce,base,
introduction,required,
invent,base,
invention,required,
invest,required,
investigate,elective,
investment,elective,
invite,base,
involve,elective,
iron,elective,
irrigation,required,
island,base,
issue,required,
it,base,
item,elective,
its,base,
itself,base,
jacket,base,
jam,elective,
jaw,elective,
jazz,elective,
jeans,base,
job,base,
jog,base,
join,base,
joint,elective,
joke,base,
journal,required,
journalist,elective,
journey,base,
joy,base,
judge,base,
juice,base,
jump,base,
jungle,elective,
junior,base,
just,base,
justice,required,
justify,elective,
kangaroo,required,
keen,required,
keep,base,
kettle,elective,
key,base,
keyboard,base,
kick,base,
kid,base,
kill,base,
kilo,base,
(=kilogram),base,
kilometre,base,
(kilometer),base,
kind,base,
kindergarten,elective,
king,base,
kingdom,elective,
kiss,base,
kit,elective,
kitchen,base,
kite,base,
knee,base,
knife,base,
knock,base,
know,base,
knowledge,base,
kung,base,
fu,base,
lab,base,
(=laboratory),base,
label,elective,
labour,base,
(labor),elective,
lack,elective,
lady,base,
lake,base,
lamb,elective,
lamp,base,
land,base,
landscape,base,
language,base,
lantern,base,
lap,required,
laptop,base,
large,base,
last,base,
late,base,
later,base,
laugh,base,
launch,elective,
law,base,
lawyer,base,
lay,base,
lazy,base,
lead,base,
leader,required,
leadership,elective,
leaf,base,
league,elective,
leak,elective,
lean,required,
leap,elective,
learn,base,
least,base,
leather,elective,
leave,base,
lecture,required,
left,base,
leg,base,
legal,elective,
legend,elective,
leisure,elective,
lemon,base,
lend,base,
length,required,
less,base,
lesson,base,
let,base,
letter,base,
level,base,
liberation,elective,
liberty,elective,
librarian,elective,
library,base,
license,elective,
lie,base,
life,base,
lifestyle,required,
lift,base,
light,base,
lightning,base,
like,base,
likely,base,
limit,elective,
limited,required,
line,base,
link,elective,
lion,base,
lip,required,
liquid,elective,
list,base,
listen,base,
literally,elective,
literary,elective,
literature,base,
litter,base,
little,base,
live,base,
lively,base,
livestock,required,
living,required,
load,elective,
loan,elective,
local,base,
location,required,
lock,base,
log,elective,
logical,elective,
lonely,base,
long,base,
look,base,
loose,elective,
lose,base,
loss,base,
lost,base,
lot,base,
loud,base,
love,base,
lovely,base,
low,base,
lower,elective,
loyal,elective,
luck,base,
lucky,required,
lunar,elective,
lunch,base,
lung,elective,
luxury,elective,
machine,base,
mad,base,
madam,base,
magazine,base,
magic,base,
magnificent,elective,
mail,elective,
